ID,가격(백만원)
TEST_000,130.79076
TEST_001,79.92969
TEST_002,64.90691
TEST_003,34.749165
TEST_004,47.945023
TEST_005,100.81603
TEST_006,21.086935
TEST_007,40.170677
TEST_008,81.36407
TEST_009,25.160887
TEST_010,63.8751
TEST_011,62.806816
TEST_012,40.21244
TEST_013,98.82031
TEST_014,88.98053
TEST_015,23.073866
TEST_016,126.456665
TEST_017,52.426636
TEST_018,59.941433
TEST_019,34.755154
TEST_020,37.742847
TEST_021,160.23433
TEST_022,46.875797
TEST_023,55.55698
TEST_024,22.806057
TEST_025,47.945023
TEST_026,79.95549
TEST_027,79.880936
TEST_028,28.018904
TEST_029,126.46396
TEST_030,63.331142
TEST_031,40.806885
TEST_032,114.36656
TEST_033,87.90961
TEST_034,35.236736
TEST_035,80.07458
TEST_036,23.478287
TEST_037,40.013596
TEST_038,24.283974
TEST_039,120.89958
TEST_040,125.57198
TEST_041,16.741589
TEST_042,119.21258
TEST_043,60.666748
TEST_044,23.040298
TEST_045,98.43526
TEST_046,22.130756
TEST_047,74.08633
TEST_048,62.403393
TEST_049,78.16663
TEST_050,35.236736
TEST_051,18.229391
TEST_052,38.796387
TEST_053,125.57198
TEST_054,23.66792
TEST_055,27.787457
TEST_056,156.22441
TEST_057,40.795082
TEST_058,159.71872
TEST_059,40.21244
TEST_060,55.55698
TEST_061,127.19848
TEST_062,40.72436
TEST_063,120.912
TEST_064,40.112534
TEST_065,34.142532
TEST_066,71.97221
TEST_067,48.831734
TEST_068,100.00304
TEST_069,23.061
TEST_070,48.183994
TEST_071,27.902477
TEST_072,64.254814
TEST_073,38.63542
TEST_074,125.71315
TEST_075,23.048191
TEST_076,40.33919
TEST_077,120.90461
TEST_078,160.2343
TEST_079,80.07223
TEST_080,28.031683
TEST_081,40.89448
TEST_082,19.085089
TEST_083,34.04568
TEST_084,33.448322
TEST_085,40.112534
TEST_086,57.273235
TEST_087,87.90961
TEST_088,64.90691
TEST_089,53.72335
TEST_090,40.880733
TEST_091,69.7457
TEST_092,19.959312
TEST_093,79.954155
TEST_094,21.847435
TEST_095,24.649698
TEST_096,65.47403
TEST_097,126.39993
TEST_098,65.47403
TEST_099,96.81027
TEST_100,126.56188
TEST_101,27.902477
